//设置格式：物品名称|价格模式|拆分数量|打折比例。
//金币具体价格：必须包含[金][银][铜]3个字，元宝具体价格：必须包含[元宝]2个字。
//价格模式分6种：[金币]具体价格,[金币]平均价格,[金币]最低价格,[元宝]具体价格,[元宝]平均价格,[元宝]最低价格。
红宝石碎片(5级)|[金币]最低价格|1|90
红宝石碎片(4级)|[金币]最低价格|1|90
玄兽技能书|[金币]最低价格|1|90
火灵技能书|[金币]最低价格|1|90
识破|[金币]2金0银0铜|10|90
摔绊|[金币]2金0银0铜|10|90
忠心技能书|[金币]2金0银0铜|10|90
高级摔绊|[金币]最低价格|1|90
高级忠心技能书|[金币]最低价格|1|90
高级识破技能书|[金币]最低价格|1|90
宝石雕琢符3级|[金币]最低价格|50|90
虚弱|[金币]2金0银0铜|10|90
高级虚弱技能书|[金币]最低价格|1|90
冰精技能书|[金币]最低价格|1|90
灵气技能书|[金币]2金0银0铜|10|90
高级灵气技能书|[金币]最低价格|1|90
破绽|[金币]2金0银0铜|10|90
高级破绽|[金币]最低价格|1|90
精铁碎片|[金币]最低价格|不拆|90
纫革9级|[金币]最低价格|不拆|90
纫革10级|[金币]最低价格|不拆|90
要诀：一日丧命散|[金币]最低价格|1|90
要诀：少泽剑|[金币]最低价格|1|90
秘籍：北冥神功|[金币]最低价格|1|90
要诀：冰凝霜华|[金币]最低价格|1|90
凤舞九天·知1级|[金币]最低价格|1|90
溪山行旅·化解1级|[金币]最低价格|1|90
汗血|[金币]最低价格|1|90
秘籍：生死符|[金币]最低价格|1|90
要诀：步步生花|[金币]最低价格|1|90
要诀：中冲剑|[金币]最低价格|1|90
高级珍兽还童卷轴|[金币]最低价格|不拆|90
探营取将·锁1级|[金币]最低价格|不拆|90
要诀：鲲跃北溟|[金币]最低价格|不拆|90
腰带体力雕纹图样|[金币]最低价格|不拆|90
净化技能书|[金币]最低价格|不拆|90
凤舞九天·附1级|[金币]最低价格|不拆|90
要诀：良夜游|[金币]最低价格|不拆|90
督脉运功典藏|[金币]最低价格|不拆|90
足太阴脉运功典藏|[金币]最低价格|不拆|90
诛仙阵·盲1级|[金币]最低价格|不拆|90
八阵图·逆脉1级|[金币]最低价格|不拆|90
手少阳脉运功典藏|[金币]最低价格|不拆|90
任脉运功典藏|[金币]最低价格|不拆|90
要诀：劝君酒|[金币]最低价格|不拆|90
绝地|[金币]最低价格|不拆|90
乌骓|[金币]最低价格|不拆|90
要诀：潮生云灭|[金币]最低价格|不拆|90
越影|[金币]最低价格|不拆|90
兰花点穴手·解1级|[金币]最低价格|不拆|90
秘籍：传习录·观潮|[金币]最低价格|不拆|90
谋动干戈·知1级|[金币]最低价格|不拆|90
坐骑：辞云鸢|[金币]最低价格|不拆|90
秘籍：传习录·水逝|[金币]最低价格|不拆|90
寒玉精粹|[金币]最低价格|3|100
